"state","period_start","period_end","duration"
"Intermediate","2021-03-18 06:32:26+01","2021-03-18 06:32:28+01","00:00:02"
"Active","2021-03-18 06:32:28+01","2021-03-18 06:32:30+01","00:00:02"
"Intermediate","2021-03-18 06:32:30+01","2021-03-18 06:32:31+01","00:00:01"
"Active","2021-03-18 06:32:31+01","2021-03-18 06:32:32+01","00:00:01"
"Intermediate","2021-03-18 06:32:32+01","2021-03-18 06:32:35+01","00:00:03"
"Active","2021-03-18 06:32:35+01","2021-03-18 06:32:36+01","00:00:01"
"Idle","2021-03-18 06:32:36+01","2021-03-18 06:32:37+01","00:00:01"
"Intermediate","2021-03-18 06:32:37+01","2021-03-18 06:32:39+01","00:00:02"
"Idle","2021-03-18 06:32:39+01","2021-03-18 06:32:42+01","00:00:03"
"Intermediate","2021-03-18 06:32:42+01","2021-03-18 06:32:43+01","00:00:01"
"Idle","2021-03-18 06:32:43+01","2021-03-18 06:32:44+01","00:00:01"
"Active","2021-03-18 06:32:44+01","2021-03-18 06:32:46+01","00:00:02"
"Intermediate","2021-03-18 06:32:46+01","2021-03-18 06:32:47+01","00:00:01"
"Active","2021-03-18 06:32:47+01","2021-03-18 06:32:51+01","00:00:04"
"Intermediate","2021-03-18 06:32:51+01","2021-03-18 06:32:52+01","00:00:01"
"Active","2021-03-18 06:32:52+01","2021-03-18 06:32:53+01","00:00:01"
"Intermediate","2021-03-18 06:32:53+01","2021-03-18 06:32:55+01","00:00:02"
"Active","2021-03-18 06:32:55+01","2021-03-18 06:33:01+01","00:00:06"
"Intermediate","2021-03-18 06:33:01+01","2021-03-18 06:33:02+01","00:00:01"
"Active","2021-03-18 06:33:02+01","2021-03-18 06:33:04+01","00:00:02"
"Intermediate","2021-03-18 06:33:04+01","2021-03-18 06:33:07+01","00:00:03"
"Active","2021-03-18 06:33:07+01","2021-03-18 06:33:08+01","00:00:01"
"Intermediate","2021-03-18 06:33:08+01","2021-03-18 06:33:10+01","00:00:02"
"Active","2021-03-18 06:33:10+01","2021-03-18 06:33:11+01","00:00:01"
"Intermediate","2021-03-18 06:33:11+01","2021-03-18 06:33:15+01","00:00:04"
"Active","2021-03-18 06:33:15+01","2021-03-18 06:33:17+01","00:00:02"
